service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5034628;2021-01-11;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-06;CE-Junky Yard;Parkway Village
5034624;2021-01-11;PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-09;CE-Junky Yard;Parkway Village
5034662;2021-01-11;PARKING ON GRASS;Inspection-Junky Yard;Closed Void;2021-04-25;CE-Junky Yard;Parkway Village
5034654;2021-01-11;REMOVE ALL TRASH, DEBRIS AND CHATTLE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-28;CE-Junky Yard;Parkway Village
5035658;2021-01-12;REMOVE PALLETS FROM BACKYARD;Inspection-Junky Yard;Incompliance violation order to Building Repaired - BLDG. Repaired;2021-04-09;CE-Junky Yard;Parkway Village
5035654;2021-01-12;REMOVE ALL DEBRIS AND CHATTLE FROM CARPORT, REFRAIN FROM PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-06-07;CE-Junky Yard;Parkway Village
5036728;2021-01-13;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5051224;2021-01-28;TREE LIMBS IN BACKYARD;Inspection-Junky Yard;Closed Void;2021-05-12;CE-Junky Yard;Parkway Village
5055338;2021-02-02;Inoperable vehicle, open storage, chattels in backyard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Parkway Village
5064540;2021-02-10;OVERGROWN WEEDS IN REAR OF PROPERTY;Inspection-Junky Yard;Closed Void;2021-12-28;CE-Junky Yard;Parkway Village
5065226;2021-02-11;Extreme junky back yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Parkway Village
5069472;2021-02-22;WEEDS IN REAR OF PROPERTY;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;Parkway Village
5069474;2021-02-22;BROKEN FENCE AND TREE TRUNK IN FRONT YARD;Inspection-Junky Yard;Closed Void;2021-04-14;CE-Junky Yard;Parkway Village
5081270;2021-03-03;yard debris in front yard;Inspection-Junky Yard;Closed Void;2021-07-19;CE-Junky Yard;Parkway Village
5087524;2021-03-09;"**Please talk to them** 3rd request; Place garbage at curb without bags, garbage being blown everywhere";Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5088796;2021-03-10;High grass and weed in front and back yard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-07;CE-Weeds Occupied Property;Parkway Village
5092482;2021-03-12;Trash and debris under carport;Inspection-Junky Yard;Closed Void;2021-08-03;CE-Junky Yard;Parkway Village
5091748;2021-03-12;Two piles of debris in back yard.;Inspection-Junky Yard;Closed Void;2021-04-07;CE-Junky Yard;Parkway Village
5092582;2021-03-12;TREE DEBRIS ,JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5092586;2021-03-12;PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5099106;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5098796;2021-03-17;Parking in yard, JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-30;CE-Junky Yard;Parkway Village
5099174;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Closed Void;2021-07-19;CE-Junky Yard;Parkway Village
5099134;2021-03-17;INOPERABLE VEHICLES/  PARKED ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5098788;2021-03-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-23;CE-Junky Yard;Parkway Village
5098784;2021-03-17;INOPERABLE VEHICLE, PARKING ON YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-05;CE-Junky Yard;Parkway Village
5098836;2021-03-17;JUNKY YARD TIRES;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Parkway Village
5099144;2021-03-17;INOPERABLE VEHICLES / PARKED GRASS;Inspection-Junky Yard;Justified, Active already file;2022-02-28;CE-Junky Yard;Parkway Village
5099082;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5099124;2021-03-17;INOPERABLE VEHICLES AND PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5099190;2021-03-17;TRAILER PARKED ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-10;CE-Junky Yard;Parkway Village
5099086;2021-03-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Parkway Village
5098840;2021-03-17;Parking in yard, JUNKY YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-03;CE-Junky Yard;Parkway Village
5098834;2021-03-17;junky yard;Inspection-Junky Yard;Closed Void;2021-07-19;CE-Junky Yard;Parkway Village
