Offense Date,UCR Description,UCR Category,Zip Code
2021-01-07 19:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-07 21:50:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-07 22:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-07 23:40:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-08 00:02:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-08 02:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-08 12:45:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-08 14:20:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-08 14:36:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-08 16:20:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-08 19:45:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-08 20:00:00+00:00,MURDER/NON-NEGL MSLTR,HOMICIDE,38128
2021-01-08 21:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-08 21:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-08 21:53:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-08 23:20:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-09 00:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-09 03:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-09 04:25:00+00:00,ROBBERY,ROBBERY,38128
2021-01-09 14:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-09 15:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-09 15:30:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-09 18:20:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-09 21:45:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-10 00:00:00+00:00,STALKING,ASSAULT,38128
2021-01-10 01:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-10 12:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-10 12:43:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-10 17:12:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-10 18:20:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38128
2021-01-10 19:24:00+00:00,ROBBERY,ROBBERY,38128
2021-01-10 20:20:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-10 20:26:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
