Offense Date,UCR Description,UCR Category,Zip Code
2021-01-08 23:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-09 02:50:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-09 04:13:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-09 06:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-09 10:50:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-09 12:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-09 12:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-09 13:00:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-09 14:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-09 15:00:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-09 16:37:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38114
2021-01-09 17:15:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-09 17:21:00+00:00,DRUG/NARCOTIC EQUIQ VIOL,DRUG/NARCOTIC,38114
2021-01-09 18:06:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-09 18:20:00+00:00,ROBBERY,ROBBERY,38114
2021-01-09 19:45:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-09 20:00:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-09 20:09:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-09 20:30:00+00:00,ROBBERY,ROBBERY,38114
2021-01-10 01:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-10 08:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-10 15:09:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-10 16:51:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-10 18:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-11 02:17:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-11 03:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-11 03:20:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-11 10:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-11 11:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-11 11:30:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
